P 550, -150, 70, 102, 255, 102, 2, Fourth_Floor
P 550, -125, 50, 0, 204, 0, 2, Third_Floor
P 550, -100, 26, 0, 204, 204, 2, Second_Floor
P 550, -75, 0, 0, 0, 0, 2, First_Floor_(Ground)
P 550, -50, -21, 178, 102, 255, 2, Basement
P 550, -25, -43, 102, 0, 204, 2, Sub_Basement
L 224.0, 59.0, -21.0, 224.0, 55.0, -21.0, 178, 102, 255
L 259.0, 59.0, -21.0, 224.0, 59.0, -21.0, 178, 102, 255
L 259.0, 55.0, -21.0, 259.0, 59.0, -21.0, 178, 102, 255
L 267.0, 55.0, -21.0, 259.0, 55.0, -21.0, 178, 102, 255
L 268.0, 55.0, -21.0, 267.0, 55.0, -21.0, 178, 102, 255
L 268.0, 59.0, -21.0, 268.0, 55.0, -21.0, 178, 102, 255
L 293.0, 59.0, -21.0, 268.0, 59.0, -21.0, 178, 102, 255
L 293.0, 56.0, -21.0, 293.0, 59.0, -21.0, 178, 102, 255
L 293.0, 55.0, -21.0, 293.0, 56.0, -21.0, 178, 102, 255
L 297.0, 55.0, -21.0, 293.0, 55.0, -21.0, 178, 102, 255
L 297.0, 32.0, -21.0, 297.0, 55.0, -21.0, 178, 102, 255
L 293.0, 32.0, -21.0, 297.0, 32.0, -21.0, 178, 102, 255
L 293.0, 26.0, -21.0, 293.0, 32.0, -21.0, 178, 102, 255
L 268.0, 26.0, -21.0, 293.0, 26.0, -21.0, 178, 102, 255
L 268.0, 29.0, -21.0, 268.0, 26.0, -21.0, 178, 102, 255
L 276.0, 29.0, -21.0, 268.0, 29.0, -21.0, 178, 102, 255
L 276.0, 32.0, -21.0, 276.0, 29.0, -21.0, 178, 102, 255
L 259.0, 32.0, -21.0, 276.0, 32.0, -21.0, 178, 102, 255
L 259.0, 24.0, -21.0, 259.0, 32.0, -21.0, 178, 102, 255
L 259.0, 23.0, -21.0, 259.0, 24.0, -21.0, 178, 102, 255
L 297.0, 23.0, -21.0, 259.0, 23.0, -21.0, 178, 102, 255
L 297.0, -7.0, -21.0, 297.0, 23.0, -21.0, 178, 102, 255
L 296.0, -7.0, -21.0, 297.0, -7.0, -21.0, 178, 102, 255
L 296.0, 6.0, -21.0, 296.0, -7.0, -21.0, 178, 102, 255
L 296.0, 6.0, -21.0, 293.0, 6.0, -21.0, 178, 102, 255
L 284.0, 6.0, -21.0, 281.0, 6.0, -21.0, 178, 102, 255
L 504.0, -93.0, -13.0, 503.0, -45.0, -13.0, 178, 102, 255
L 506.0, -93.0, -13.0, 504.0, -93.0, -13.0, 178, 102, 255
L 506.0, -98.0, -13.0, 506.0, -93.0, -13.0, 178, 102, 255
L 505.0, -98.0, -13.0, 506.0, -98.0, -13.0, 178, 102, 255
L 504.0, -98.0, -13.0, 505.0, -98.0, -13.0, 178, 102, 255
L 504.0, -132.0, -13.0, 504.0, -98.0, -13.0, 178, 102, 255
L 492.0, -144.0, -12.0, 504.0, -132.0, -13.0, 178, 102, 255
L 487.0, -128.0, -13.0, 487.0, -141.0, -12.0, 178, 102, 255
L 474.0, -128.0, -13.0, 464.0, -128.0, -13.0, 150, 150, 150
L 474.0, -124.0, -13.0, 474.0, -128.0, -13.0, 150, 150, 150
L 477.0, -124.0, -13.0, 474.0, -124.0, -13.0, 178, 102, 255
L 477.0, -128.0, -13.0, 477.0, -124.0, -13.0, 150, 150, 150
L 487.0, -128.0, -13.0, 477.0, -128.0, -13.0, 150, 150, 150
L 487.0, -124.0, -10.0, 487.0, -128.0, -13.0, 178, 102, 255
L 464.0, -124.0, -10.0, 487.0, -124.0, -10.0, 178, 102, 255
L 464.0, -128.0, -13.0, 464.0, -124.0, -10.0, 178, 102, 255
L 464.0, -141.0, -12.0, 464.0, -128.0, -13.0, 178, 102, 255
L 458.0, -144.0, -12.0, 459.0, -144.0, -12.0, 178, 102, 255
L 459.0, -128.0, -13.0, 459.0, -141.0, -12.0, 178, 102, 255
L 446.0, -128.0, -13.0, 436.0, -128.0, -13.0, 150, 150, 150
L 446.0, -124.0, -13.0, 446.0, -128.0, -13.0, 150, 150, 150
L 449.0, -124.0, -13.0, 446.0, -124.0, -13.0, 178, 102, 255
L 449.0, -128.0, -13.0, 449.0, -124.0, -13.0, 150, 150, 150
L 459.0, -128.0, -13.0, 449.0, -128.0, -13.0, 150, 150, 150
L 459.0, -124.0, -10.0, 459.0, -128.0, -13.0, 178, 102, 255
L 436.0, -124.0, -10.0, 459.0, -124.0, -10.0, 178, 102, 255
L 436.0, -128.0, -13.0, 436.0, -124.0, -10.0, 178, 102, 255
L 436.0, -141.0, -12.0, 436.0, -128.0, -13.0, 178, 102, 255
L 430.0, -143.0, -13.0, 431.0, -144.0, -12.0, 178, 102, 255
L 419.0, -132.0, -13.0, 430.0, -143.0, -13.0, 178, 102, 255
L 419.0, -71.0, -13.0, 419.0, -129.0, -13.0, 178, 102, 255
L 422.0, -71.0, -13.0, 420.0, -71.0, -13.0, 178, 102, 255
L 422.0, -95.0, -13.0, 422.0, -71.0, -13.0, 178, 102, 255
L 443.0, -95.0, -13.0, 422.0, -95.0, -13.0, 178, 102, 255
L 443.0, -60.0, -13.0, 443.0, -95.0, -13.0, 178, 102, 255
L 422.0, -60.0, -13.0, 443.0, -60.0, -13.0, 178, 102, 255
L 422.0, -62.0, -13.0, 422.0, -60.0, -13.0, 178, 102, 255
L 421.0, -62.0, -13.0, 422.0, -62.0, -13.0, 178, 102, 255
L 419.0, -62.0, -13.0, 420.0, -62.0, -13.0, 178, 102, 255
L 419.0, -54.0, -13.0, 419.0, -62.0, -13.0, 178, 102, 255
L 383.0, -48.0, -13.0, 383.0, -52.0, -13.0, 178, 102, 255
L 371.0, -48.0, -13.0, 383.0, -48.0, -13.0, 178, 102, 255
L 360.0, -48.0, -13.0, 371.0, -48.0, -13.0, 178, 102, 255
L 360.0, -95.0, -13.0, 360.0, -48.0, -13.0, 178, 102, 255
L 361.0, -95.0, -13.0, 360.0, -95.0, -13.0, 178, 102, 255
L 362.0, -95.0, -13.0, 361.0, -95.0, -13.0, 178, 102, 255
L 362.0, -97.0, -13.0, 362.0, -96.0, -13.0, 178, 102, 255
L 362.0, -98.0, -13.0, 362.0, -97.0, -13.0, 178, 102, 255
L 361.0, -98.0, -13.0, 362.0, -98.0, -13.0, 178, 102, 255
L 360.0, -98.0, -13.0, 361.0, -98.0, -13.0, 178, 102, 255
L 360.0, -119.0, -13.0, 360.0, -98.0, -13.0, 178, 102, 255
L 360.0, -120.0, -13.0, 360.0, -119.0, -13.0, 178, 102, 255
L 359.0, -120.0, -13.0, 360.0, -120.0, -13.0, 178, 102, 255
L 353.0, -120.0, -13.0, 359.0, -120.0, -13.0, 178, 102, 255
L 353.0, -107.0, -13.0, 353.0, -120.0, -13.0, 178, 102, 255
L 355.0, -107.0, -13.0, 353.0, -107.0, -13.0, 178, 102, 255
L 355.0, -76.0, -13.0, 355.0, -107.0, -13.0, 178, 102, 255
L 323.0, -76.0, -13.0, 355.0, -76.0, -13.0, 178, 102, 255
L 314.0, -76.0, -13.0, 323.0, -76.0, -13.0, 178, 102, 255
L 314.0, -80.0, -13.0, 314.0, -76.0, -13.0, 178, 102, 255
L 306.0, -80.0, -13.0, 314.0, -80.0, -13.0, 178, 102, 255
L 306.0, -109.0, -13.0, 306.0, -80.0, -13.0, 178, 102, 255
L 312.0, -110.0, -13.0, 312.0, -119.0, -13.0, 178, 102, 255
L 312.0, -109.0, -13.0, 312.0, -110.0, -13.0, 178, 102, 255
L 306.0, -109.0, -13.0, 312.0, -109.0, -13.0, 178, 102, 255
L 317.0, -119.0, -13.0, 312.0, -119.0, -13.0, 178, 102, 255
L 318.0, -119.0, -13.0, 317.0, -119.0, -13.0, 178, 102, 255
L 306.0, -147.0, -14.0, 306.0, -122.0, -14.0, 178, 102, 255
L 329.0, -147.0, -14.0, 306.0, -147.0, -14.0, 178, 102, 255
L 337.0, -139.0, -14.0, 329.0, -147.0, -14.0, 178, 102, 255
L 337.0, -122.0, -14.0, 337.0, -139.0, -14.0, 178, 102, 255
L 331.0, -119.0, -13.0, 327.0, -119.0, -13.0, 178, 102, 255
L 331.0, -109.0, -13.0, 331.0, -119.0, -13.0, 178, 102, 255
L 337.0, -109.0, -13.0, 331.0, -109.0, -13.0, 178, 102, 255
L 337.0, -107.0, -13.0, 337.0, -109.0, -13.0, 178, 102, 255
L 339.0, -107.0, -13.0, 337.0, -107.0, -13.0, 178, 102, 255
L 340.0, -107.0, -13.0, 339.0, -107.0, -13.0, 178, 102, 255
L 340.0, -108.0, -13.0, 340.0, -107.0, -13.0, 178, 102, 255
L 340.0, -125.0, -13.0, 340.0, -108.0, -13.0, 178, 102, 255
L 348.0, -133.0, -13.0, 340.0, -125.0, -13.0, 178, 102, 255
L 365.0, -133.0, -13.0, 348.0, -133.0, -13.0, 178, 102, 255
L 373.0, -125.0, -13.0, 365.0, -133.0, -13.0, 178, 102, 255
L 373.0, -98.0, -13.0, 373.0, -125.0, -13.0, 178, 102, 255
L 371.0, -98.0, -13.0, 373.0, -98.0, -13.0, 178, 102, 255
L 371.0, -95.0, -13.0, 371.0, -96.0, -13.0, 178, 102, 255
L 396.0, -95.0, -13.0, 371.0, -95.0, -13.0, 178, 102, 255
L 396.0, -143.0, -13.0, 396.0, -95.0, -13.0, 178, 102, 255
L 419.0, -129.0, -13.0, 419.0, -132.0, -13.0, 178, 102, 255
L 419.0, -167.0, -12.0, 396.0, -143.0, -13.0, 178, 102, 255
L 424.0, -183.0, -13.0, 424.0, -170.0, -12.0, 178, 102, 255
L 437.0, -183.0, -13.0, 447.0, -183.0, -13.0, 150, 150, 150
L 437.0, -187.0, -13.0, 437.0, -183.0, -13.0, 150, 150, 150
L 434.0, -183.0, -13.0, 434.0, -187.0, -13.0, 150, 150, 150
L 424.0, -183.0, -13.0, 434.0, -183.0, -13.0, 150, 150, 150
L 424.0, -187.0, -10.0, 424.0, -183.0, -13.0, 178, 102, 255
L 447.0, -187.0, -10.0, 424.0, -187.0, -10.0, 178, 102, 255
L 447.0, -183.0, -13.0, 447.0, -187.0, -10.0, 178, 102, 255
L 447.0, -170.0, -12.0, 447.0, -183.0, -13.0, 178, 102, 255
L 450.0, -183.0, -13.0, 450.0, -170.0, -12.0, 178, 102, 255
L 463.0, -183.0, -13.0, 473.0, -183.0, -13.0, 150, 150, 150
L 463.0, -187.0, -13.0, 463.0, -183.0, -13.0, 150, 150, 150
L 460.0, -183.0, -13.0, 460.0, -187.0, -13.0, 150, 150, 150
L 450.0, -183.0, -13.0, 460.0, -183.0, -13.0, 150, 150, 150
L 450.0, -187.0, -10.0, 450.0, -183.0, -13.0, 178, 102, 255
L 473.0, -187.0, -10.0, 450.0, -187.0, -10.0, 178, 102, 255
L 473.0, -183.0, -13.0, 473.0, -187.0, -10.0, 178, 102, 255
L 473.0, -170.0, -12.0, 473.0, -183.0, -13.0, 178, 102, 255
L 476.0, -183.0, -13.0, 476.0, -170.0, -12.0, 178, 102, 255
L 499.0, -187.0, -10.0, 499.0, -183.0, -13.0, 178, 102, 255
L 476.0, -187.0, -10.0, 499.0, -187.0, -10.0, 178, 102, 255
L 476.0, -187.0, -10.0, 476.0, -183.0, -13.0, 178, 102, 255
L 485.0, -183.0, -13.0, 476.0, -183.0, -13.0, 150, 150, 150
L 486.0, -183.0, -13.0, 485.0, -183.0, -13.0, 150, 150, 150
L 486.0, -187.0, -13.0, 486.0, -183.0, -13.0, 150, 150, 150
L 489.0, -187.0, -13.0, 486.0, -187.0, -13.0, 150, 150, 150
L 489.0, -183.0, -13.0, 489.0, -187.0, -13.0, 150, 150, 150
L 499.0, -183.0, -13.0, 489.0, -183.0, -13.0, 150, 150, 150
L 499.0, -170.0, -12.0, 499.0, -183.0, -13.0, 178, 102, 255
L 527.0, -143.0, -13.0, 503.0, -167.0, -12.0, 178, 102, 255
L 527.0, -98.0, -13.0, 527.0, -143.0, -13.0, 178, 102, 255
L 525.0, -98.0, -13.0, 527.0, -98.0, -13.0, 178, 102, 255
L 525.0, -93.0, -13.0, 525.0, -98.0, -13.0, 178, 102, 255
L 527.0, -93.0, -13.0, 525.0, -93.0, -13.0, 178, 102, 255
L 527.0, -12.0, -13.0, 527.0, -93.0, -13.0, 178, 102, 255
L 539.0, 0.0, -13.0, 527.0, -12.0, -13.0, 178, 102, 255
L 599.0, 0.0, -13.0, 539.0, 0.0, -13.0, 178, 102, 255
L 599.0, 11.0, -13.0, 599.0, 0.0, -13.0, 178, 102, 255
L 573.0, 11.0, -13.0, 599.0, 11.0, -13.0, 178, 102, 255
L 573.0, 14.0, -13.0, 573.0, 11.0, -13.0, 178, 102, 255
L 605.0, 14.0, -13.0, 573.0, 14.0, -13.0, 178, 102, 255
L 601.0, 17.0, -13.0, 605.0, 17.0, -13.0, 178, 102, 255
L 601.0, 28.0, -13.0, 601.0, 17.0, -13.0, 178, 102, 255
L 605.0, 28.0, -13.0, 601.0, 28.0, -13.0, 178, 102, 255
L 601.0, 31.0, -13.0, 605.0, 31.0, -13.0, 178, 102, 255
L 601.0, 42.0, -13.0, 601.0, 31.0, -13.0, 178, 102, 255
L 605.0, 42.0, -13.0, 601.0, 42.0, -13.0, 178, 102, 255
L 605.0, 45.0, -13.0, 605.0, 42.0, -13.0, 178, 102, 255
L 601.0, 45.0, -13.0, 605.0, 45.0, -13.0, 178, 102, 255
L 601.0, 55.0, -13.0, 601.0, 45.0, -13.0, 178, 102, 255
L 601.0, 56.0, -13.0, 601.0, 55.0, -13.0, 178, 102, 255
L 605.0, 56.0, -13.0, 601.0, 56.0, -13.0, 178, 102, 255
L 605.0, 59.0, -13.0, 605.0, 14.0, -13.0, 178, 102, 255
L 595.0, 69.0, -13.0, 605.0, 59.0, -13.0, 178, 102, 255
L 592.0, 65.0, -13.0, 592.0, 69.0, -13.0, 178, 102, 255
L 591.0, 65.0, -13.0, 592.0, 65.0, -13.0, 178, 102, 255
L 581.0, 65.0, -13.0, 591.0, 65.0, -13.0, 178, 102, 255
L 581.0, 69.0, -13.0, 581.0, 65.0, -13.0, 178, 102, 255
L 576.0, 66.0, -13.0, 576.0, 69.0, -13.0, 178, 102, 255
L 575.0, 65.0, -13.0, 576.0, 66.0, -13.0, 178, 102, 255
L 563.0, 65.0, -13.0, 575.0, 65.0, -13.0, 178, 102, 255
L 563.0, 69.0, -13.0, 563.0, 65.0, -13.0, 178, 102, 255
L 558.0, 65.0, -13.0, 558.0, 69.0, -13.0, 178, 102, 255
L 557.0, 65.0, -13.0, 558.0, 65.0, -13.0, 178, 102, 255
L 547.0, 65.0, -13.0, 557.0, 65.0, -13.0, 178, 102, 255
L 547.0, 69.0, -13.0, 547.0, 65.0, -13.0, 178, 102, 255
L 547.0, 69.0, -13.0, 595.0, 69.0, -13.0, 178, 102, 255
L 543.0, 69.0, -13.0, 547.0, 69.0, -13.0, 178, 102, 255
L 534.0, 59.0, -13.0, 543.0, 69.0, -13.0, 178, 102, 255
L 534.0, 59.0, -13.0, 534.0, 56.0, -13.0, 178, 102, 255
L 534.0, 56.0, -13.0, 534.0, 45.0, -13.0, 178, 102, 255
L 537.0, 56.0, -13.0, 534.0, 56.0, -13.0, 178, 102, 255
L 538.0, 55.0, -13.0, 537.0, 56.0, -13.0, 178, 102, 255
L 538.0, 45.0, -13.0, 538.0, 55.0, -13.0, 178, 102, 255
L 537.0, 45.0, -13.0, 538.0, 45.0, -13.0, 178, 102, 255
L 534.0, 45.0, -13.0, 534.0, 42.0, -13.0, 178, 102, 255
L 534.0, 45.0, -13.0, 537.0, 45.0, -13.0, 178, 102, 255
L 534.0, 42.0, -13.0, 534.0, 31.0, -13.0, 178, 102, 255
L 538.0, 42.0, -13.0, 534.0, 42.0, -13.0, 178, 102, 255
L 538.0, 31.0, -13.0, 538.0, 42.0, -13.0, 178, 102, 255
L 537.0, 31.0, -13.0, 538.0, 31.0, -13.0, 178, 102, 255
L 534.0, 31.0, -13.0, 534.0, 28.0, -13.0, 178, 102, 255
L 534.0, 31.0, -13.0, 537.0, 31.0, -13.0, 178, 102, 255
L 534.0, 28.0, -13.0, 534.0, 17.0, -13.0, 178, 102, 255
L 537.0, 28.0, -13.0, 534.0, 28.0, -13.0, 178, 102, 255
L 538.0, 28.0, -13.0, 537.0, 28.0, -13.0, 178, 102, 255
L 538.0, 17.0, -13.0, 538.0, 28.0, -13.0, 178, 102, 255
L 537.0, 17.0, -13.0, 538.0, 17.0, -13.0, 178, 102, 255
L 534.0, 17.0, -13.0, 534.0, 14.0, -13.0, 178, 102, 255
L 534.0, 17.0, -13.0, 537.0, 17.0, -13.0, 178, 102, 255
L 563.0, 14.0, -13.0, 534.0, 14.0, -13.0, 178, 102, 255
L 564.0, 14.0, -13.0, 563.0, 14.0, -13.0, 178, 102, 255
L 564.0, 11.0, -13.0, 564.0, 14.0, -13.0, 178, 102, 255
L 563.0, 11.0, -13.0, 564.0, 11.0, -13.0, 178, 102, 255
L 515.0, 11.0, -13.0, 563.0, 11.0, -13.0, 178, 102, 255
L 504.0, 0.0, -13.0, 515.0, 11.0, -13.0, 178, 102, 255
L 304.0, -14.0, -13.0, 304.0, 1.0, -13.0, 178, 102, 255
L 303.0, -14.0, -13.0, 304.0, -14.0, -13.0, 178, 102, 255
L 300.0, -14.0, -13.0, 303.0, -14.0, -13.0, 178, 102, 255
L 300.0, -35.0, -13.0, 300.0, -14.0, -13.0, 178, 102, 255
L 323.0, -35.0, -13.0, 300.0, -35.0, -13.0, 178, 102, 255
L 324.0, -35.0, -13.0, 323.0, -35.0, -13.0, 178, 102, 255
L 324.0, -38.0, -13.0, 324.0, -35.0, -13.0, 178, 102, 255
L 323.0, -38.0, -13.0, 324.0, -38.0, -13.0, 178, 102, 255
L 293.0, -38.0, -13.0, 323.0, -38.0, -13.0, 178, 102, 255
L 293.0, -33.0, -13.0, 293.0, -38.0, -13.0, 178, 102, 255
L 297.0, -33.0, -13.0, 293.0, -33.0, -13.0, 178, 102, 255
L 297.0, -14.0, -13.0, 297.0, -33.0, -13.0, 178, 102, 255
L 293.0, -14.0, -13.0, 297.0, -14.0, -13.0, 178, 102, 255
L 293.0, -13.0, -13.0, 293.0, -14.0, -13.0, 178, 102, 255
L 293.0, -7.0, -14.0, 293.0, -13.0, -13.0, 178, 102, 255
L 284.0, -7.0, -14.0, 293.0, -7.0, -14.0, 150, 150, 150
L 284.0, -13.0, -13.0, 284.0, -7.0, -14.0, 178, 102, 255
L 284.0, -14.0, -13.0, 284.0, -13.0, -13.0, 178, 102, 255
L 283.0, -14.0, -13.0, 284.0, -14.0, -13.0, 178, 102, 255
L 279.0, -14.0, -13.0, 283.0, -14.0, -13.0, 178, 102, 255
L 279.0, -12.0, -13.0, 279.0, -14.0, -13.0, 178, 102, 255
L 268.0, -12.0, -13.0, 279.0, -12.0, -13.0, 178, 102, 255
L 268.0, -13.0, -13.0, 268.0, -12.0, -13.0, 178, 102, 255
L 268.0, -14.0, -13.0, 268.0, -13.0, -13.0, 178, 102, 255
L 264.0, -14.0, -13.0, 268.0, -14.0, -13.0, 178, 102, 255
L 264.0, -45.0, -13.0, 264.0, -14.0, -13.0, 178, 102, 255
L 267.0, -45.0, -13.0, 264.0, -45.0, -13.0, 178, 102, 255
L 268.0, -45.0, -13.0, 267.0, -45.0, -13.0, 178, 102, 255
L 268.0, -49.0, -13.0, 268.0, -45.0, -13.0, 178, 102, 255
L 345.0, -49.0, -13.0, 268.0, -49.0, -13.0, 178, 102, 255
L 345.0, -38.0, -13.0, 345.0, -49.0, -13.0, 178, 102, 255
L 341.0, -38.0, -13.0, 345.0, -38.0, -13.0, 178, 102, 255
L 341.0, -35.0, -13.0, 341.0, -38.0, -13.0, 178, 102, 255
L 347.0, -35.0, -13.0, 341.0, -35.0, -13.0, 178, 102, 255
L 347.0, -23.0, -13.0, 347.0, -35.0, -13.0, 178, 102, 255
L 350.0, -23.0, -13.0, 348.0, -23.0, -13.0, 178, 102, 255
L 350.0, -35.0, -13.0, 350.0, -23.0, -13.0, 178, 102, 255
L 407.0, -35.0, -13.0, 350.0, -35.0, -13.0, 178, 102, 255
L 431.0, -35.0, -14.0, 410.0, -35.0, -13.0, 178, 102, 255
L 431.0, -8.0, -14.0, 431.0, -35.0, -14.0, 178, 102, 255
L 431.0, -7.0, -14.0, 431.0, -8.0, -14.0, 178, 102, 255
L 455.0, -7.0, -14.0, 431.0, -7.0, -14.0, 178, 102, 255
L 456.0, -7.0, -14.0, 455.0, -7.0, -14.0, 178, 102, 255
L 456.0, -59.0, -14.0, 456.0, -7.0, -14.0, 178, 102, 255
L 479.0, -24.0, -14.0, 497.0, -24.0, -14.0, 178, 102, 255
L 479.0, 21.0, -14.0, 479.0, -24.0, -14.0, 178, 102, 255
L 410.0, 21.0, -13.0, 479.0, 21.0, -14.0, 178, 102, 255
L 383.0, 9.0, -13.0, 407.0, 9.0, -13.0, 178, 102, 255
L 383.0, 12.0, -13.0, 383.0, 10.0, -13.0, 150, 100, 0
L 407.0, 12.0, -13.0, 383.0, 12.0, -13.0, 178, 102, 255
L 407.0, 50.0, -13.0, 407.0, 12.0, -13.0, 178, 102, 255
L 409.0, 50.0, -13.0, 408.0, 50.0, -13.0, 178, 102, 255
L 410.0, 50.0, -13.0, 409.0, 50.0, -13.0, 178, 102, 255
L 410.0, 38.0, -13.0, 410.0, 50.0, -13.0, 178, 102, 255
L 429.0, 38.0, -13.0, 410.0, 38.0, -13.0, 178, 102, 255
L 429.0, 81.0, -13.0, 429.0, 38.0, -13.0, 178, 102, 255
L 410.0, 81.0, -13.0, 429.0, 81.0, -13.0, 178, 102, 255
L 410.0, 59.0, -13.0, 410.0, 81.0, -13.0, 178, 102, 255
L 409.0, 59.0, -13.0, 410.0, 59.0, -13.0, 178, 102, 255
L 407.0, 59.0, -13.0, 408.0, 59.0, -13.0, 178, 102, 255
L 407.0, 71.0, -13.0, 407.0, 59.0, -13.0, 178, 102, 255
L 383.0, 71.0, -13.0, 407.0, 71.0, -13.0, 178, 102, 255
L 383.0, 75.0, -13.0, 383.0, 71.0, -13.0, 178, 102, 255
L 360.0, 75.0, -13.0, 383.0, 75.0, -13.0, 178, 102, 255
L 360.0, 60.0, -13.0, 360.0, 75.0, -13.0, 178, 102, 255
L 359.0, 59.0, -13.0, 360.0, 60.0, -13.0, 178, 102, 255
L 357.0, 59.0, -13.0, 359.0, 59.0, -13.0, 178, 102, 255
L 357.0, 71.0, -13.0, 357.0, 59.0, -13.0, 178, 102, 255
L 324.0, 71.0, -13.0, 357.0, 71.0, -13.0, 178, 102, 255
L 324.0, 67.0, -13.0, 324.0, 71.0, -13.0, 178, 102, 255
L 323.0, 67.0, -13.0, 324.0, 67.0, -13.0, 178, 102, 255
L 310.0, 67.0, -13.0, 323.0, 67.0, -13.0, 178, 102, 255
L 310.0, 30.0, -13.0, 310.0, 67.0, -13.0, 178, 102, 255
L 323.0, 30.0, -13.0, 310.0, 30.0, -13.0, 178, 102, 255
L 324.0, 30.0, -13.0, 323.0, 30.0, -13.0, 178, 102, 255
L 324.0, 26.0, -13.0, 324.0, 30.0, -13.0, 178, 102, 255
L 357.0, 26.0, -13.0, 324.0, 26.0, -13.0, 178, 102, 255
L 357.0, 48.0, -13.0, 357.0, 26.0, -13.0, 178, 102, 255
L 359.0, 48.0, -13.0, 357.0, 48.0, -13.0, 178, 102, 255
L 360.0, 47.0, -13.0, 359.0, 48.0, -13.0, 178, 102, 255
L 360.0, 23.0, -13.0, 360.0, 47.0, -13.0, 178, 102, 255
L 350.0, 23.0, -13.0, 360.0, 23.0, -13.0, 178, 102, 255
L 350.0, 12.0, -13.0, 350.0, 23.0, -13.0, 178, 102, 255
L 373.0, 12.0, -13.0, 350.0, 12.0, -13.0, 178, 102, 255
L 374.0, 12.0, -13.0, 373.0, 12.0, -13.0, 178, 102, 255
L 374.0, 9.0, -13.0, 374.0, 10.0, -13.0, 178, 102, 255
L 373.0, 9.0, -13.0, 374.0, 9.0, -13.0, 178, 102, 255
L 350.0, 9.0, -13.0, 373.0, 9.0, -13.0, 178, 102, 255
L 350.0, -5.0, -13.0, 350.0, 9.0, -13.0, 178, 102, 255
L 397.0, -5.0, -13.0, 350.0, -5.0, -13.0, 205, 133, 63
L 398.0, -5.0, -13.0, 397.0, -5.0, -13.0, 205, 133, 63
L 398.0, -9.0, -13.0, 398.0, -5.0, -13.0, 205, 133, 63
L 397.0, -10.0, -13.0, 398.0, -9.0, -13.0, 205, 133, 63
L 350.0, -10.0, -13.0, 397.0, -10.0, -13.0, 205, 133, 63
L 350.0, -14.0, -13.0, 350.0, -10.0, -13.0, 178, 102, 255
L 347.0, -14.0, -13.0, 348.0, -14.0, -13.0, 178, 102, 255
L 347.0, 21.0, -13.0, 347.0, -14.0, -13.0, 178, 102, 255
L 345.0, 21.0, -13.0, 347.0, 21.0, -13.0, 178, 102, 255
L 345.0, 23.0, -13.0, 345.0, 21.0, -13.0, 178, 102, 255
L 326.0, 23.0, -13.0, 345.0, 23.0, -13.0, 127, 64, 0
L 326.0, 21.0, -13.0, 326.0, 23.0, -13.0, 178, 102, 255
L 325.0, 21.0, -13.0, 326.0, 21.0, -13.0, 178, 102, 255
L 324.0, 21.0, -13.0, 325.0, 21.0, -13.0, 178, 102, 255
L 324.0, -14.0, -13.0, 324.0, 21.0, -13.0, 178, 102, 255
