P 350, -100, 0, 0, 0, 0, 2, Level_1_(Top)
P 350, -75, -42, 255, 102, 255, 2, Level_2
P 350, -50, -86, 204, 0, 204, 2, Level_3
P 350, -25, -116, 178, 102, 255, 2, Level_4
P 350, 0, -149, 102, 0, 204, 2, Level_5_(Bottom)
L 102.0, -81.0, -61.0, 100.0, -76.0, -61.0, 0, 0, 255
L 100.0, -76.0, -61.0, 97.0, -74.0, -61.0, 0, 0, 255
L 100.0, -82.0, -73.0, 101.0, -96.0, -72.0, 178, 102, 255
L 101.0, -96.0, -72.0, 85.0, -97.0, -74.0, 178, 102, 255
L 85.0, -97.0, -74.0, 85.0, -82.0, -73.0, 178, 102, 255
L 85.0, -82.0, -73.0, 100.0, -82.0, -73.0, 178, 102, 255
L -142.0, -19.0, -85.0, -91.0, 24.0, -85.0, 204, 0, 204
L -91.0, 24.0, -85.0, -85.0, 36.0, -85.0, 204, 0, 204
L -28.0, 35.0, -104.0, 36.0, 35.0, -104.0, 0, 0, 255
L 36.0, 35.0, -104.0, 35.0, 22.0, -104.0, 0, 0, 255
L 35.0, 22.0, -104.0, 42.0, 8.0, -104.0, 0, 0, 255
L 42.0, 8.0, -104.0, 43.0, -4.0, -104.0, 0, 0, 255
L 43.0, -4.0, -104.0, 36.0, -15.0, -104.0, 0, 0, 255
L 36.0, -15.0, -104.0, 36.0, -30.0, -104.0, 0, 0, 255
L 36.0, -30.0, -104.0, -29.0, -30.0, -104.0, 0, 0, 255
L -29.0, -30.0, -104.0, -29.0, -15.0, -104.0, 0, 0, 255
L -29.0, -15.0, -104.0, -40.0, -3.0, -104.0, 0, 0, 255
L -40.0, -3.0, -104.0, -41.0, 8.0, -104.0, 0, 0, 255
L -41.0, 8.0, -104.0, -28.0, 22.0, -104.0, 0, 0, 255
L -28.0, 22.0, -104.0, -28.0, 35.0, -104.0, 0, 0, 255
L 122.0, -105.0, -131.0, 122.0, -124.0, -131.0, 102, 0, 204
L 122.0, -124.0, -131.0, 79.0, -124.0, -131.0, 102, 0, 204
L 79.0, -124.0, -131.0, 79.0, -109.0, -131.0, 102, 0, 204
L 79.0, -100.0, -131.0, 79.0, -74.0, -131.0, 102, 0, 204
L 79.0, -74.0, -131.0, 122.0, -74.0, -131.0, 102, 0, 204
L 122.0, -74.0, -131.0, 122.0, -96.0, -131.0, 102, 0, 204
L -161.0, -243.0, 4.0, -161.0, -228.0, 1.0, 0, 0, 0
L -136.0, -246.5, 2.0, -136.0, -228.0, 2.0, 0, 0, 0
L -136.0, -228.0, 2.0, -171.0, -185.0, 2.0, 0, 0, 0
L -171.0, -185.0, 2.0, -189.0, -121.0, 2.0, 0, 0, 0
L -189.0, -121.0, 2.0, -191.0, -66.0, 2.0, 0, 0, 0
L -191.0, -66.0, 2.0, -164.0, -66.0, 1.0, 0, 0, 0
L -164.0, -66.0, 1.0, -164.0, -107.0, 1.0, 0, 0, 0
L -164.0, -107.0, 1.0, -136.0, -107.0, 1.0, 0, 0, 0
L -136.0, -107.0, 1.0, -136.0, -117.0, 1.0, 0, 0, 0
L -136.0, -117.0, 1.0, -106.0, -151.0, 1.0, 0, 0, 0
L -106.0, -151.0, 1.0, -78.0, -151.0, 1.0, 0, 0, 0
L -78.0, -151.0, 1.0, -67.0, -156.0, 1.0, 0, 0, 0
L -67.0, -156.0, 1.0, -78.0, -165.0, 1.0, 0, 0, 0
L -78.0, -165.0, 1.0, -120.0, -165.0, 1.0, 0, 0, 0
L -120.0, -165.0, 1.0, -140.0, -184.0, 1.0, 0, 0, 0
L -140.0, -184.0, 1.0, -139.0, -203.0, 1.0, 0, 0, 0
L -139.0, -203.0, 1.0, -119.0, -223.0, 1.0, 0, 0, 0
L -119.0, -223.0, 1.0, -85.0, -224.0, 1.0, 0, 0, 0
L -85.0, -224.0, 1.0, -59.0, -212.0, 1.0, 0, 0, 0
L -59.0, -212.0, 1.0, -49.0, -212.0, 1.0, 0, 0, 0
L -49.0, -212.0, 1.0, -36.0, -201.0, 1.0, 0, 0, 0
L -36.0, -201.0, 1.0, -19.0, -203.0, 1.0, 0, 0, 0
L -19.0, -203.0, 1.0, -11.0, -203.0, 1.0, 0, 0, 0
L -11.0, -203.0, 1.0, 0.0, -210.0, 1.0, 0, 0, 0
L 0.0, -210.0, 1.0, 12.0, -216.0, 0.0, 0, 0, 0
L 12.0, -216.0, 0.0, 28.0, -216.0, 0.0, 0, 0, 0
L 28.0, -216.0, 0.0, 58.0, -225.0, 0.0, 0, 0, 0
L 58.0, -225.0, 0.0, 52.0, -251.0, -1.0, 0, 0, 0
L 52.0, -251.0, -1.0, 45.0, -254.0, 0.0, 0, 0, 0
L 45.0, -254.0, 0.0, 42.0, -260.0, 0.0, 0, 0, 0
L 42.0, -260.0, 0.0, 30.0, -270.0, 0.0, 0, 0, 0
L 30.0, -270.0, 0.0, 30.0, -281.0, 0.0, 0, 0, 0
L 30.0, -281.0, 0.0, 46.0, -287.0, 0.0, 0, 0, 0
L 46.0, -287.0, 0.0, 60.0, -283.0, 0.0, 0, 0, 0
L 60.0, -288.0, 0.0, 60.0, -283.0, 0.0, 0, 0, 0
L 78.0, -287.0, 0.0, 78.0, -285.0, 0.0, 0, 0, 0
L 78.0, -285.0, 0.0, 71.0, -276.0, 0.0, 0, 0, 0
L 71.0, -276.0, 0.0, 55.0, -274.0, 0.0, 0, 0, 0
L 55.0, -274.0, 0.0, 45.0, -278.0, 0.0, 0, 0, 0
L 45.0, -278.0, 0.0, 40.0, -276.0, 0.0, 0, 0, 0
L 40.0, -276.0, 0.0, 44.0, -272.0, 0.0, 0, 0, 0
L 44.0, -272.0, 0.0, 52.0, -266.0, -1.0, 0, 0, 0
L 52.0, -266.0, -1.0, 57.0, -271.0, -1.0, 0, 0, 0
L 57.0, -271.0, -1.0, 75.0, -270.0, -1.0, 0, 0, 0
L 75.0, -270.0, -1.0, 78.0, -268.0, 0.0, 0, 0, 0
L 78.0, -268.0, 0.0, 88.0, -252.0, -2.0, 0, 0, 0
L 88.0, -252.0, -2.0, 98.0, -257.0, -3.0, 0, 0, 0
L 98.0, -257.0, -3.0, 119.0, -257.0, -4.0, 0, 0, 0
L 119.0, -257.0, -4.0, 141.0, -220.0, -8.0, 0, 0, 0
L 140.0, -220.0, -9.0, 128.0, -179.0, -32.0, 0, 0, 0
L 128.0, -179.0, -32.0, 156.0, -179.0, -39.0, 0, 0, 0
L 156.0, -179.0, -39.0, 161.0, -177.0, -41.0, 0, 0, 0
L 161.0, -177.0, -41.0, 185.0, -178.0, -50.0, 0, 0, 0
L 185.0, -178.0, -50.0, 201.0, -162.0, -50.0, 0, 0, 0
L 201.0, -162.0, -50.0, 190.0, -135.0, -50.0, 0, 0, 0
L 190.0, -135.0, -50.0, 173.0, -125.0, -50.0, 255, 102, 255
L 173.0, -125.0, -50.0, 141.0, -125.0, -61.0, 255, 102, 255
L 147.0, -125.0, -61.0, 145.0, -125.0, -61.0, 255, 102, 255
L 141.0, -125.0, -61.0, 103.0, -74.0, -61.0, 255, 102, 255
L 103.0, -74.0, -61.0, 83.0, -74.0, -61.0, 255, 102, 255
L 83.0, -74.0, -61.0, 65.0, -125.0, -61.0, 255, 102, 255
L 65.0, -125.0, -61.0, 58.0, -131.0, -62.0, 255, 102, 255
L 39.0, -144.0, -62.0, 58.0, -144.0, -62.0, 255, 102, 255
L 58.0, -144.0, -62.0, 82.0, -134.0, -61.0, 255, 102, 255
L 174.0, -134.0, -50.0, 182.0, -146.0, -50.0, 255, 102, 255
L 182.0, -163.0, -50.0, 182.0, -146.0, -50.0, 0, 0, 0
L 182.0, -163.0, -50.0, 129.0, -163.0, -31.0, 0, 0, 0
L 129.0, -163.0, -31.0, 118.0, -163.0, -31.0, 0, 0, 0
L 118.0, -163.0, -31.0, 118.0, -179.0, -31.0, 0, 0, 0
L 118.0, -179.0, -31.0, 110.0, -221.0, -8.0, 0, 0, 0
L 110.0, -221.0, -8.0, 110.0, -230.0, -7.0, 0, 0, 0
L 110.0, -230.0, -7.0, 116.0, -236.0, -8.0, 0, 0, 0
L 116.0, -236.0, -8.0, 121.0, -236.0, -8.0, 0, 0, 0
L 121.0, -236.0, -8.0, 120.0, -242.0, -4.0, 0, 0, 0
L 120.0, -242.0, -4.0, 78.0, -240.0, 0.0, 0, 0, 0
L 78.0, -240.0, 0.0, 75.0, -238.0, -1.0, 0, 0, 0
L 75.0, -238.0, -1.0, 71.0, -228.0, 0.0, 0, 0, 0
L 71.0, -228.0, 0.0, 73.0, -225.0, 0.0, 0, 0, 0
L 73.0, -225.0, 0.0, 73.0, -214.0, 0.0, 0, 0, 0
L 73.0, -214.0, 0.0, 57.0, -199.0, 0.0, 0, 0, 0
L 57.0, -199.0, 0.0, 36.0, -191.0, 0.0, 0, 0, 0
L 36.0, -191.0, 0.0, 27.0, -191.0, 0.0, 0, 0, 0
L 27.0, -191.0, 0.0, 27.0, -196.0, 0.0, 0, 0, 0
L 27.0, -196.0, 0.0, 18.0, -196.0, 0.0, 0, 0, 0
L 18.0, -196.0, 0.0, -11.0, -186.0, 0.0, 0, 0, 0
L -11.0, -186.0, 0.0, -19.0, -186.0, 0.0, 0, 0, 0
L -19.0, -186.0, 0.0, -35.0, -175.0, 0.0, 0, 0, 0
L -35.0, -175.0, 0.0, -59.0, -194.0, 0.0, 0, 0, 0
L -59.0, -194.0, 0.0, -59.0, -181.0, 0.0, 0, 0, 0
L -59.0, -181.0, 0.0, -49.0, -155.0, 0.0, 0, 0, 0
L -49.0, -155.0, 0.0, -49.0, -144.0, 0.0, 0, 0, 0
L -49.0, -144.0, 0.0, -79.0, -128.0, 0.0, 0, 0, 0
L -79.0, -128.0, 0.0, -100.0, -128.0, 0.0, 0, 0, 0
L -100.0, -128.0, 0.0, -107.0, -117.0, 0.0, 0, 0, 0
L -107.0, -117.0, 0.0, -107.0, -95.0, 0.0, 0, 0, 0
L -107.0, -95.0, 0.0, -100.0, -86.0, 0.0, 0, 0, 0
L -100.0, -86.0, 0.0, -83.0, -81.0, 0.0, 0, 0, 0
L -83.0, -81.0, 0.0, -52.0, -81.0, 0.0, 0, 0, 0
L -52.0, -81.0, 0.0, -42.0, -71.0, 0.0, 0, 0, 0
L -42.0, -71.0, 0.0, -42.0, -61.0, 0.0, 0, 0, 0
L -42.0, -61.0, 0.0, -34.0, -35.0, 0.0, 0, 0, 0
L -34.0, -35.0, 0.0, -22.0, -41.0, 0.0, 0, 0, 0
L -22.0, -41.0, 0.0, -7.0, -41.0, 0.0, 0, 0, 0
L -7.0, -41.0, 0.0, 12.0, -37.0, 0.0, 0, 0, 0
L 12.0, -37.0, 0.0, 59.0, -37.0, 0.0, 0, 0, 0
L 59.0, -37.0, 0.0, 83.0, -30.0, 0.0, 0, 0, 0
L 83.0, -30.0, 0.0, 97.0, -21.0, 0.0, 0, 0, 0
L 97.0, -21.0, 0.0, 98.0, -7.0, 0.0, 0, 0, 0
L 98.0, -7.0, 0.0, 82.0, 17.0, 0.0, 0, 0, 0
L 82.0, 17.0, 0.0, 32.0, 16.0, 0.0, 0, 0, 0
L 32.0, 16.0, 0.0, 0.0, 49.0, 0.0, 0, 0, 0
L 0.0, 49.0, 0.0, 0.0, 60.0, 0.0, 0, 0, 0
L 0.0, 60.0, 0.0, 12.0, 60.0, 0.0, 0, 0, 0
L 12.0, 60.0, 0.0, 34.0, 48.0, 0.0, 0, 0, 0
L 34.0, 48.0, 0.0, 54.0, 24.0, 0.0, 0, 0, 0
L 54.0, 24.0, 0.0, 67.0, 27.0, 0.0, 0, 0, 0
L 67.0, 27.0, 0.0, 75.0, 23.0, 0.0, 0, 0, 0
L 75.0, 23.0, 0.0, 93.0, 47.0, 0.0, 0, 0, 0
L 93.0, 47.0, 0.0, 119.0, 63.0, 0.0, 0, 0, 0
L 119.0, 63.0, 0.0, 119.0, 77.0, 0.0, 0, 0, 0
L 119.0, 77.0, 0.0, 125.0, 89.0, 0.0, 0, 0, 0
L 125.0, 89.0, 0.0, 133.0, 89.0, 0.0, 0, 0, 0
L 133.0, 89.0, 0.0, 145.0, 75.0, 0.0, 0, 0, 0
L 145.0, 75.0, 0.0, 131.0, 65.0, 0.0, 0, 0, 0
L 131.0, 65.0, 0.0, 120.0, 51.0, 0.0, 0, 0, 0
L 120.0, 51.0, 0.0, 121.0, 31.0, 0.0, 0, 0, 0
L 121.0, 31.0, 0.0, 142.0, -2.0, -1.0, 0, 0, 0
L 142.0, -2.0, -1.0, 145.0, -11.0, -2.0, 0, 0, 0
L 145.0, -11.0, -2.0, 187.0, -13.0, -3.0, 0, 0, 0
L 187.0, -13.0, -3.0, 193.0, -9.0, -3.0, 0, 0, 0
L 193.0, -9.0, -3.0, 193.0, -3.0, -3.0, 0, 0, 0
L 193.0, -3.0, -3.0, 189.0, 4.0, -3.0, 0, 0, 0
L 189.0, 4.0, -3.0, 192.0, 11.0, -4.0, 0, 0, 0
L 192.0, 11.0, -4.0, 192.0, 21.0, -4.0, 0, 0, 0
L 192.0, 21.0, -4.0, 189.0, 24.0, -3.0, 0, 0, 0
L 189.0, 24.0, -3.0, 189.0, 69.0, -21.0, 0, 0, 0
L 189.0, 69.0, -21.0, 179.0, 90.0, -37.0, 0, 0, 0
L 179.0, 90.0, -37.0, 177.0, 93.0, -39.0, 255, 102, 255
L 177.0, 93.0, -39.0, 183.0, 114.0, -48.0, 255, 102, 255
L 183.0, 114.0, -48.0, 261.0, 126.0, -51.0, 255, 102, 255
L 261.0, 126.0, -51.0, 260.0, 82.0, -72.0, 255, 102, 255
L 260.0, 82.0, -72.0, 260.0, 68.0, -72.0, 255, 102, 255
L 260.0, 68.0, -72.0, 293.0, 68.0, -74.0, 255, 102, 255
L 293.0, 68.0, -74.0, 293.0, 82.0, -74.0, 255, 102, 255
L 271.0, 179.0, -116.0, 271.0, 151.0, -107.0, 255, 102, 255
L 217.0, 179.0, -116.0, 160.0, 179.0, -119.0, 102, 0, 204
L 160.0, 179.0, -119.0, 136.0, 167.0, -121.0, 102, 0, 204
L 136.0, 167.0, -121.0, 128.0, 155.0, -131.0, 102, 0, 204
L 141.0, 118.0, -131.0, 153.0, 118.0, -132.0, 102, 0, 204
L 153.0, 118.0, -132.0, 153.0, 150.0, -132.0, 102, 0, 204
L 153.0, 150.0, -132.0, 145.0, 150.0, -131.0, 102, 0, 204
L 145.0, 150.0, -131.0, 145.0, 156.0, -131.0, 102, 0, 204
L 128.0, 155.0, -131.0, 128.0, 150.0, -131.0, 102, 0, 204
L 124.0, 150.0, -131.0, 128.0, 150.0, -131.0, 102, 0, 204
L 145.0, 156.0, -131.0, 156.0, 168.0, -119.0, 102, 0, 204
L 156.0, 168.0, -119.0, 217.0, 168.0, -117.0, 102, 0, 204
L 257.0, 168.0, -117.0, 257.0, 153.0, -109.0, 255, 102, 255
L 272.0, 139.0, -109.0, 281.0, 139.0, -102.0, 255, 102, 255
L 281.0, 139.0, -102.0, 281.0, 82.0, -74.0, 255, 102, 255
L 281.0, 82.0, -74.0, 272.0, 82.0, -73.0, 255, 102, 255
L 272.0, 82.0, -73.0, 272.0, 137.0, -50.0, 255, 102, 255
L 272.0, 137.0, -50.0, 176.0, 137.0, -48.0, 255, 102, 255
L 176.0, 142.0, -48.0, 178.0, 145.0, -49.0, 204, 0, 204
L 166.0, 174.0, -67.0, 166.0, 151.0, -49.0, 204, 0, 204
L 166.0, 151.0, -49.0, 164.0, 147.0, -49.0, 204, 0, 204
L 164.0, 147.0, -49.0, 164.0, 145.0, -49.0, 204, 0, 204
L 164.0, 145.0, -49.0, 166.0, 142.0, -48.0, 204, 0, 204
L 115.0, 100.0, -47.0, 115.0, 109.0, -47.0, 255, 102, 255
L 115.0, 109.0, -47.0, 135.0, 129.0, -47.0, 255, 102, 255
L 135.0, 129.0, -47.0, 135.0, 147.0, -47.0, 127, 127, 0
L 139.0, 129.0, -47.0, 135.0, 129.0, -47.0, 255, 102, 255
L 139.0, 129.0, -47.0, 142.0, 127.0, -47.0, 255, 102, 255
L 142.0, 127.0, -47.0, 146.0, 127.0, -47.0, 255, 102, 255
L 146.0, 127.0, -47.0, 151.0, 129.0, -47.0, 255, 102, 255
L 151.0, 129.0, -47.0, 154.0, 134.0, -47.0, 255, 102, 255
L 139.0, 147.0, -47.0, 135.0, 147.0, -47.0, 255, 102, 255
L 154.0, 134.0, -47.0, 154.0, 142.0, -47.0, 255, 102, 255
L 154.0, 142.0, -47.0, 151.0, 147.0, -47.0, 255, 102, 255
L 151.0, 147.0, -47.0, 146.0, 149.0, -47.0, 255, 102, 255
L 146.0, 149.0, -47.0, 142.0, 148.0, -47.0, 255, 102, 255
L 142.0, 148.0, -47.0, 139.0, 147.0, -47.0, 255, 102, 255
L 135.0, 147.0, -47.0, 120.0, 150.0, -47.0, 255, 102, 255
L 120.0, 150.0, -47.0, 114.0, 183.0, -47.0, 255, 102, 255
L 114.0, 183.0, -47.0, 148.0, 205.0, -47.0, 255, 102, 255
L 148.0, 205.0, -47.0, 148.0, 222.0, -47.0, 255, 102, 255
L 148.0, 222.0, -47.0, 117.0, 233.0, -47.0, 255, 102, 255
L 117.0, 235.0, -47.0, 120.0, 242.0, -47.0, 255, 102, 255
L 120.0, 242.0, -47.0, 120.0, 250.0, -47.0, 255, 102, 255
L 120.0, 250.0, -47.0, 116.0, 256.0, -47.0, 255, 102, 255
L 116.0, 256.0, -47.0, 111.0, 258.0, -47.0, 255, 102, 255
L 111.0, 258.0, -47.0, 104.0, 258.0, -47.0, 255, 102, 255
L 104.0, 258.0, -47.0, 101.0, 256.0, -47.0, 255, 102, 255
L 101.0, 256.0, -47.0, 98.0, 250.0, -47.0, 255, 102, 255
L 98.0, 250.0, -47.0, 98.0, 242.0, -47.0, 255, 102, 255
L 98.0, 242.0, -47.0, 102.0, 235.0, -47.0, 255, 102, 255
L 117.0, 235.0, -47.0, 117.0, 233.0, -47.0, 255, 102, 255
L 102.0, 233.0, -47.0, 102.0, 235.0, -47.0, 255, 102, 255
L 102.0, 233.0, -47.0, 79.0, 210.0, -47.0, 255, 102, 255
L 79.0, 210.0, -47.0, 66.0, 215.0, -47.0, 255, 102, 255
L 66.0, 215.0, -47.0, 49.0, 231.0, -47.0, 255, 102, 255
L 49.0, 231.0, -47.0, 30.0, 244.0, -46.0, 255, 102, 255
L 30.0, 244.0, -46.0, 11.0, 230.0, -47.0, 255, 102, 255
L 11.0, 230.0, -47.0, -23.0, 257.0, -47.0, 255, 102, 255
L -23.0, 257.0, -47.0, -61.0, 256.0, -46.0, 255, 102, 255
L -61.0, 256.0, -46.0, -87.0, 230.0, -46.0, 255, 102, 255
L -87.0, 230.0, -46.0, -91.0, 238.0, -47.0, 255, 102, 255
L -91.0, 238.0, -47.0, -111.0, 238.0, -47.0, 255, 102, 255
L -111.0, 238.0, -47.0, -120.0, 237.0, -47.0, 255, 102, 255
L -120.0, 237.0, -47.0, -124.0, 234.0, -46.0, 255, 102, 255
L -124.0, 234.0, -46.0, -146.0, 234.0, -66.0, 255, 102, 255
L -178.0, 234.0, -84.0, -186.0, 240.0, -85.0, 204, 0, 204
L -186.0, 240.0, -85.0, -203.0, 237.0, -85.0, 204, 0, 204
L -203.0, 237.0, -85.0, -203.0, 208.0, -85.0, 204, 0, 204
L -123.0, 214.0, -46.0, -146.0, 214.0, -65.0, 255, 102, 255
L -123.0, 214.0, -46.0, -120.0, 211.0, -47.0, 255, 102, 255
L -120.0, 211.0, -47.0, -111.0, 209.0, -47.0, 255, 102, 255
L -111.0, 209.0, -47.0, -111.0, 202.0, -47.0, 255, 102, 255
L -81.0, 139.0, -47.0, -74.0, 135.0, -47.0, 255, 102, 255
L -74.0, 135.0, -47.0, -79.0, 128.0, -47.0, 255, 102, 255
L -79.0, 128.0, -47.0, -99.0, 128.0, -47.0, 255, 102, 255
L -99.0, 128.0, -47.0, -128.0, 119.0, -47.0, 255, 102, 255
L -128.0, 119.0, -47.0, -132.0, 119.0, -44.0, 255, 102, 255
L -132.0, 119.0, -44.0, -132.0, 107.0, -44.0, 255, 102, 255
L -132.0, 107.0, -44.0, -128.0, 107.0, -44.0, 255, 102, 255
L -128.0, 107.0, -44.0, -98.0, 96.0, -47.0, 255, 102, 255
L -81.0, 139.0, -47.0, -96.0, 142.0, -47.0, 255, 102, 255
L -96.0, 142.0, -47.0, -121.0, 171.0, -47.0, 255, 102, 255
L -121.0, 171.0, -47.0, -136.0, 178.0, -47.0, 255, 102, 255
L -136.0, 178.0, -47.0, -136.0, 188.0, -47.0, 255, 102, 255
L -136.0, 188.0, -47.0, -113.0, 198.0, -47.0, 255, 102, 255
L -113.0, 198.0, -47.0, -111.0, 202.0, -47.0, 255, 102, 255
L -100.0, 209.0, -47.0, -91.0, 209.0, -47.0, 255, 102, 255
L -91.0, 209.0, -47.0, -87.0, 219.0, -46.0, 255, 102, 255
L -87.0, 219.0, -46.0, -62.0, 244.0, -47.0, 255, 102, 255
L -62.0, 244.0, -47.0, -22.0, 244.0, -46.0, 255, 102, 255
L -22.0, 244.0, -46.0, 12.0, 217.0, -47.0, 255, 102, 255
L 12.0, 217.0, -47.0, 12.0, 204.0, -47.0, 255, 102, 255
L 12.0, 204.0, -47.0, -10.0, 194.0, -47.0, 255, 102, 255
L -10.0, 194.0, -46.0, -36.0, 205.0, -46.0, 255, 102, 255
L -36.0, 205.0, -46.0, -46.0, 232.0, -46.0, 255, 102, 255
L -46.0, 232.0, -46.0, -63.0, 231.0, -46.0, 255, 102, 255
L -63.0, 231.0, -46.0, -74.0, 206.0, -46.0, 255, 102, 255
L -74.0, 206.0, -46.0, -91.0, 190.0, -46.0, 255, 102, 255
L -91.0, 190.0, -46.0, -93.0, 191.0, -46.0, 255, 102, 255
L -93.0, 191.0, -46.0, -100.0, 202.0, -47.0, 255, 102, 255
L -100.0, 209.0, -47.0, -100.0, 202.0, -47.0, 255, 102, 255
L -7.0, 182.0, -47.0, 14.0, 196.0, -47.0, 255, 102, 255
L 14.0, 196.0, -47.0, 30.0, 208.0, -47.0, 255, 102, 255
L 30.0, 208.0, -47.0, 50.0, 219.0, -47.0, 255, 102, 255
L 50.0, 219.0, -47.0, 67.0, 199.0, -47.0, 255, 102, 255
L 67.0, 199.0, -47.0, 79.0, 199.0, -47.0, 255, 102, 255
L 79.0, 199.0, -47.0, 102.0, 183.0, -47.0, 255, 102, 255
L 102.0, 183.0, -47.0, 103.0, 165.0, -47.0, 255, 102, 255
L 103.0, 165.0, -47.0, 78.0, 161.0, -46.0, 255, 102, 255
L 78.0, 161.0, -46.0, 60.0, 161.0, -47.0, 255, 102, 255
L 60.0, 161.0, -47.0, 44.0, 168.0, -47.0, 255, 102, 255
L 44.0, 168.0, -47.0, 26.0, 177.0, -47.0, 255, 102, 255
L 26.0, 177.0, -47.0, 6.0, 160.0, -47.0, 255, 102, 255
L 6.0, 160.0, -47.0, -10.0, 151.0, -47.0, 255, 102, 255
L -10.0, 151.0, -47.0, -25.0, 156.0, -47.0, 255, 102, 255
L -25.0, 156.0, -47.0, -43.0, 161.0, -47.0, 255, 102, 255
L -43.0, 161.0, -47.0, -44.0, 165.0, -48.0, 255, 102, 255
L -44.0, 165.0, -48.0, -51.0, 175.0, -47.0, 255, 102, 255
L -51.0, 175.0, -47.0, -42.0, 191.0, -46.0, 255, 102, 255
L -42.0, 191.0, -46.0, -35.0, 194.0, -46.0, 255, 102, 255
L -35.0, 194.0, -46.0, -9.0, 183.0, -47.0, 255, 102, 255
L -9.0, 183.0, -47.0, -7.0, 182.0, -47.0, 255, 102, 255
L 115.0, 100.0, -47.0, 161.0, 129.0, -48.0, 255, 102, 255
L 161.0, 129.0, -48.0, 162.0, 137.0, -48.0, 255, 102, 255
L 162.0, 21.0, -4.0, 162.0, 11.0, -4.0, 0, 0, 0
L 162.0, 11.0, -4.0, 166.0, 4.0, -3.0, 0, 0, 0
L 166.0, 4.0, -3.0, 161.0, -4.0, -3.0, 0, 0, 0
L 161.0, -4.0, -3.0, 152.0, 10.0, -1.0, 0, 0, 0
L 152.0, 10.0, -1.0, 142.0, 32.0, 0.0, 0, 0, 0
L 142.0, 32.0, 0.0, 142.0, 53.0, 0.0, 0, 0, 0
L 142.0, 53.0, 0.0, 160.0, 66.0, 0.0, 0, 0, 0
L 160.0, 66.0, 0.0, 160.0, 88.0, 3.0, 0, 0, 0
L 160.0, 88.0, 3.0, 132.0, 115.0, 0.0, 0, 0, 0
L 132.0, 115.0, 0.0, 110.0, 115.0, 0.0, 0, 0, 0
L 110.0, 115.0, 0.0, 102.0, 76.0, 0.0, 0, 0, 0
L 102.0, 76.0, 0.0, 93.0, 65.0, 0.0, 0, 0, 0
L 93.0, 65.0, 0.0, 76.0, 65.0, 1.0, 0, 0, 0
L 76.0, 65.0, 1.0, 66.0, 55.0, 0.0, 0, 0, 0
L 66.0, 55.0, 0.0, 51.0, 55.0, 0.0, 0, 0, 0
L 51.0, 55.0, 0.0, 34.0, 78.0, 0.0, 0, 0, 0
L 34.0, 78.0, 0.0, 17.0, 78.0, 0.0, 0, 0, 0
L 17.0, 78.0, 0.0, 33.0, 103.0, 0.0, 0, 0, 0
